id,institution_name,institution_address,outbreak_setting,type_of_outbreak,causative_agent_1,causative_agent_2,date_outbreak_began,date_declared_over,active
346,West Park Healthcare Centre - 3EB,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,COVID-19,NA,2021-01-14,2021-02-02,N
347,William Osler Health System - 10th Fl,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-14,2021-02-27,N
348,University Health Network - Toronto Western Hospital - 6B,399 Bathrust Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-13,2021-01-25,N
349,Humber River Hospital - Wilson - 13 East,1235 Wilson Avenue,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-12,2021-01-25,N
350,Mon Sheong Scarborough,2030 McNicoll Avenue,LTCH,Respiratory,COVID-19,NA,2021-01-12,2021-02-18,N
351,North York General Hospital - General Site - 6 West,4001 Leslie Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-12,2021-02-10,N
352,Alexis Lodge Retirement Home,707 Ellesmere Rd,LTCH,Respiratory,COVID-19,NA,2021-01-11,2021-02-21,N
353,Baycrest Hospital - Toronto - 5E,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,COVID-19,NA,2021-01-11,2021-02-05,N
354,North York General Hospital - General Site - 8 West,4001 Leslie Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-11,2021-01-28,N
355,Scarborough Health Network-Centenary Hospital - 5E,2867 Ellesmere Road,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-11,2021-01-27,N
356,Toronto East Health Network-Michael Garron Hospital - J5,825 Coxwell Avenue,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-11,2021-01-22,N
357,"Extendicare Craiglee - Dietary, Housekeeping & 1W",102 Craiglee Drive,LTCH,Respiratory,COVID-19,NA,2021-01-10,2021-02-17,N
358,Scarborough Health Network - Birchmount Hospital - G3D,3030 Birchmount Rd.,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-10,2021-02-02,N
359,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,LTCH,Respiratory,COVID-19,NA,2021-01-09,2021-01-25,N
360,Retirement Suites by the Lake,2121 Kingston Road,Retirement Home,Respiratory,COVID-19,NA,2021-01-09,2021-02-05,N
361,University Health Network - Toronto General Hospital - 6ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-09,2021-02-06,N
362,Dom Lipa - 1 West & K-Wing,52 Neilson Drive,LTCH,Respiratory,COVID-19,NA,2021-01-08,2021-02-01,N
363,Kensington Gardens - 1 East,25 Brunswick Avenue,LTCH,Respiratory,COVID-19,NA,2021-01-08,2021-01-28,N
364,Scarborough Health Network - General Hospital - 3C,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-08,2021-01-20,N
365,The Dunfield Retirement Residence - 3rd Fl,77 Dunfield Avenue,Retirement Home,Respiratory,COVID-19,NA,2021-01-08,2021-01-30,N
366,"Labdara Lithuanian Nursing Home - Kitchen, 3rd Fl",5 Resurrection Road,LTCH,Respiratory,COVID-19,NA,2021-01-07,2021-01-22,N
367,Scarborough Retirement Residence,148 Markham Road,Retirement Home,Respiratory,COVID-19,NA,2021-01-07,2021-02-12,N
368,Unity Health Toronto - Providence Healthcare - A4,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,COVID-19,NA,2021-01-07,2021-01-15,N
369,Unity Health Toronto - St. Joseph's Health Centre - 4th Fl,200 Church Street,Hospital-Chronic Care,Respiratory,COVID-19,NA,2021-01-07,2021-01-27,N
370,University Health Network - Bickle Centre - 3South,130 Dunn Avenue,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-07,2021-01-20,N
371,William Osler Health System - 7 West,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-07,2021-02-01,N
372,Nisbet Lodge,740 Pape Avenue,LTCH,Respiratory,COVID-19,NA,2021-01-06,2021-01-29,N
373,Toronto East Health Network-Atrium at Kew Beach -,500 Kingston Road - 3rd Fl,Hospital-Chronic Care,Respiratory,COVID-19,NA,2021-01-06,2021-02-03,N
374,Unity Health Toronto - Providence Healthcare - B4,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,COVID-19,NA,2021-01-06,2021-01-25,N
375,Unity Health Toronto-St. Joseph's Health Centre - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-06,2021-01-22,N
376,Cedarvale Terrace,429 Walmer Road,LTCH,Respiratory,COVID-19,NA,2021-01-05,2021-02-16,N
377,Cheltenham Care Community,5935 Bathurst Street,LTCH,Respiratory,COVID-19,NA,2021-01-05,2021-02-22,N
378,Unity Health Toronto-St. Joseph's Health Centre - 4LM,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-05,2021-01-19,N
379,West Park Healthcare Centre - 2WD & 2WE,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,COVID-19,NA,2021-01-05,2021-02-11,N
380,Cummer Lodge - 4 South,205 Cummer,LTCH,Respiratory,COVID-19,NA,2021-01-04,2021-01-22,N
381,Humber River Hospital - RCC Finch Site - 6 East,2111 Finch Avenue West,Hospital-Chronic Care,Respiratory,COVID-19,NA,2021-01-04,2021-01-29,N
382,Lakeshore Lodge,3197 Lakeshore Blvd,LTCH,Respiratory,COVID-19,NA,2021-01-04,2021-02-17,N
383,Scarborough Health Network - General Hospital - 4C,3030 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-04,2021-01-30,N
384,"Weston Terrace Care Community - 1A, 2A, 2B, 3B, 4A",2005 Lawrence Avenue West,LTCH,Respiratory,COVID-19,NA,2021-01-04,2021-02-10,N
385,Atrium at Kew Beach,500 Kingston Road,LTCH,Respiratory,COVID-19,NA,2021-01-03,2021-02-16,N
386,Baycrest Hospital - H7E,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,COVID-19,NA,2021-01-03,2021-02-22,N
387,Sunnybrook Health Sciences Centre - Bayview Campus - K3E,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-03,2021-01-28,N
388,Trillium Health Partners-RCC Church Site - 6B,200 Church Street,Hospital-Chronic Care,Respiratory,COVID-19,NA,2021-01-03,2021-02-08,N
389,North York General Hospital - 4 West,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,NA,2021-01-02,2021-01-07,N
390,O'Neill Centre - 2nd & 3rd Fl,33 Christie Street,LTCH,Respiratory,COVID-19,NA,2021-01-02,2021-02-16,N
391,Delmanor Prince Edward,4180 Dundas Street,Retirement Home,Respiratory,COVID-19,NA,2021-01-01,2021-02-14,N
392,Kensington Gardens South Building - 4E,45 Brunswick Avenue,LTCH,Respiratory,COVID-19,NA,2021-01-01,2021-02-14,N
393,North York General Hospital-RCC Finch - 6 West,2111 Finch Avenue West,Hospital-Chronic Care,Respiratory,COVID-19,NA,2021-01-01,2021-02-02,N
394,Tony Stacy Centre,59 Lawson Road,LTCH,Respiratory,COVID-19,NA,2021-01-01,2021-02-19,N
1,University Health Network - Bickle Centre - N5B-TCU,130 Dunn Avenue,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-12-31,2021-01-15,N
2,Unity Health Toronto-St. Joseph's Health Centre - 4E,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-12-31,2021-01-16,N
3,Fairview Nursing Home - Schlegel Villages - 1st Fl,14 Cross Street,LTCH,Respiratory,COVID-19,NA,2020-12-31,2021-02-01,N
4,Kennedy Lodge Nursing Home - Main North & South,1400 Kennedy Road,LTCH,Respiratory,COVID-19,NA,2020-12-31,2021-02-23,N
5,Unity Health Toronto - St. Michael's Hospital - OR,30 Bond Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-12-30,2021-01-11,N
6,Sts. Peter and Paul Residence - 6th Fl,221 Milner Ave,Retirement Home,Respiratory,COVID-19,NA,2020-12-30,2021-01-14,N
7,Copernicus Lodge - Dining Area,66 Roncesvalles Ave,LTCH,Respiratory,COVID-19,NA,2020-12-30,2021-01-19,N
8,Extendicare Guildwood - West Wing,60 Guildwood Parkway,LTCH,Respiratory,COVID-19,NA,2020-12-30,2021-01-19,N
9,Chartwell Lansing Retirement Residence,10 Senlac Road,Retirement Home,Respiratory,COVID-19,NA,2020-12-30,2021-01-22,N
10,Harold & Grace Baker Centre,1 Northwestern Ave,LTCH,Respiratory,COVID-19,NA,2020-12-30,2021-02-13,N
11,University Health Network - Toronto General Hospital - 4MB,200 Elizabeth Street,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-12-29,2021-01-12,N
12,Elm Grove Living Centre - 1st & 2nd Fl,35 Elm Grove Avenue,LTCH,Respiratory,COVID-19,NA,2020-12-29,2021-02-10,N
13,"Chartwell Grenadier Retirement Residence - 2nd, 3rd, 4th -",2100 Bloor Street - & 5th Fl Assisted Living,Retirement Home,Respiratory,COVID-19,NA,2020-12-29,2021-02-14,N
14,Bendale Acres,2920 Lawrence Avenue East,LTCH,Respiratory,COVID-19,NA,2020-12-29,2021-02-24,N
15,Southlake Regional Health Centre - RCC Church Site-3B,200 Church Street,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-12-27,2021-01-30,N
16,Hellenic Care for Seniors - 1st Fl,215 Tyrrel Avenue,LTCH,Respiratory,COVID-19,NA,2020-12-27,2021-02-14,N
17,Chartwell Gibson Long Term Care Residence,1925 Steeles Avenue East,LTCH,Respiratory,COVID-19,NA,2020-12-27,2021-02-21,N
18,Ehatare Retirement Home,40 Old Kingston Road,Retirement Home,Respiratory,COVID-19,NA,2020-12-26,2021-01-22,N
19,"Cedarbrook Lodge Retirement Residence - 2nd, 4th & 6th Fl",520 Markham Road,Retirement Home,Respiratory,COVID-19,NA,2020-12-26,2021-02-06,N
20,Kensington Gardens North Building - 3 East,25 Brunswick Avenue,LTCH,Respiratory,COVID-19,NA,2020-12-25,2021-01-13,N
21,Extendicare Bayview,550 Cummer Avenue,LTCH,Respiratory,COVID-19,NA,2020-12-25,2021-02-02,N
22,Fountain View Care Community,1800 O'Connor Drive,LTCH,Respiratory,COVID-19,NA,2020-12-25,2021-02-11,N
23,Lakeside Long Term Care Centre - 1st Fl,150 Dunn Avenue,LTCH,Respiratory,COVID-19,NA,2020-12-24,2021-01-15,N
24,Vermont Square - 3rd Fl,914 Bathurst Street,LTCH,Respiratory,COVID-19,NA,2020-12-24,2021-01-18,N
25,Scarborough Health Network - General Hospital - T9,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-12-24,2021-01-19,N
26,Scarborough Health Network - Birchmount Hospital - G4C,3030 Birchmount Rd.,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-12-24,2021-02-08,N
27,Sunnybrook Health Sciences Centre - Bayview Campus - C4,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-12-23,2021-01-20,N
28,West Park Healthcare Centre - 3EA,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-12-23,2021-01-22,N
29,Maynard Nursing Home,28 Halton Street,LTCH,Respiratory,COVID-19,NA,2020-12-23,2021-03-12,N
30,William Osler Health System - 8th Fl,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-12-22,2021-01-05,N
31,West Park Long Term Care - Weston-Mulholland,82 Buttonwood Ave,LTCH,Respiratory,COVID-19,NA,2020-12-22,2021-01-20,N
32,"Village of Humber Heights - 6 units - 1st, 2nd & 3rd Fl",2245 Lawrence Ave W,LTCH,Respiratory,COVID-19,NA,2020-12-22,2021-02-22,N
33,Extendicare Guildwood - West,60 Guildwood Pky,LTCH,Respiratory,Unable to identify,NA,2020-12-22,2021-01-04,N
34,Scarborough Health Network-Birchmount - G4A,3030 Birchmount Rd.,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-12-21,2021-01-05,N
35,Baycrest Hospital - 5E,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-12-21,2021-01-07,N
36,"One Kenton Place - 1st, 2nd, 3rd Fl",1-3 Kenton Road,LTCH,Respiratory,COVID-19,NA,2020-12-21,2021-01-16,N
37,Queens Estate Retirement Residence,265 Queens Dr,Retirement Home,Respiratory,COVID-19,NA,2020-12-21,2021-01-21,N
38,University Health Network - Bickle Centre - 4South,130 Dunn Avenue,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-12-21,2021-01-26,N
39,Sunnybrook Health Sciences Centre - Veterans Centre - LDMH,2075 Bayview Ave,LTCH,Respiratory,COVID-19,NA,2020-12-20,2021-01-16,N
40,Terraces of Baycrest- Retirement Home,55 Ameer Avenue,Retirement Home,Respiratory,COVID-19,NA,2020-12-20,2021-02-16,N
41,North York General Hospital - Seniors Health Centre - 1st,"2 Buchan Court - 2nd, 3rd & 4th Fl",LTCH,Respiratory,COVID-19,NA,2020-12-18,2021-02-01,N
42,Baycrest Apotex Centre - Jewish Home for the Aged,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2020-12-18,2021-03-23,N
43,University Health Network - Toronto General Hospital,200 Elizabeth Street - Cath Lab,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-12-17,2020-12-29,N
44,Toronto East Health Network-Michael Garron Hospital -,825 Coxwell Avenue - CIU-A,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-12-17,2020-12-30,N
45,Trillium Health Partners - RCC Church Site - 1C,200 Church Street,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-12-17,2021-01-07,N
46,Sunnybrook Health Sciences Centre - St. John's Rehab -,285 Cummer Ave - A2,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-12-17,2021-01-27,N
47,Leaside Retirement Living - Building 10 4th Fl,10-14 William Morgan Drive,Retirement Home,Respiratory,COVID-19,NA,2020-12-17,2021-02-22,N
48,Shepherd Terrace Retirement Home - Kitchen,3758 Sheppard Ave E,LTCH,Respiratory,COVID-19,NA,2020-12-16,2020-12-17,N
49,Retirement Suites By the Lake,2121 Kingston Road,Retirement Home,Respiratory,COVID-19,NA,2020-12-16,2021-01-04,N
50,Scarborough Health Network-Birchmount - 4D Medicine,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-12-15,2020-12-28,N
51,Seven Oaks - 3rd & 5th Fl,9 Neilson Rd,LTCH,Respiratory,COVID-19,NA,2020-12-15,2021-01-04,N
52,"True Davidson Acres - 1st, 4th & 5th Fl",200 Dawes Rd,LTCH,Respiratory,COVID-19,NA,2020-12-15,2021-01-21,N
53,McNicoll Manor - 4th & 5th Fl,1020 McNicoll Avenue,LTCH,Respiratory,COVID-19,NA,2020-12-15,2021-02-04,N
54,Scarborough Health Network - Yee Hong Dialysis,60 Scottfield Drive,LTCH,Respiratory,COVID-19,NA,2020-12-14,2021-01-05,N
55,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-12-13,2020-12-26,N
56,"Ivan Franko Retirement Home - 2nd Fl, 2S, 2W",767 Royal York Rd,LTCH,Respiratory,COVID-19,NA,2020-12-13,2021-01-29,N
57,Donway Place Retirement Home,8 The Donway   E,Retirement Home,Respiratory,COVID-19,NA,2020-12-13,2021-02-05,N
58,Hellenic Home for the Aged,2411 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2020-12-13,2021-02-19,N
59,Unity Health Toronto - St. Joseph's Health Centre - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-12-10,2021-01-01,N
60,Amica Bayview Gardens - 10th Fl,19 Rean Dr,Retirement Home,Respiratory,COVID-19,NA,2020-12-09,2020-12-25,N
61,Copernicus Lodge,66 Roncesvalles Ave,LTCH,Respiratory,COVID-19,NA,2020-12-09,2021-02-26,N
62,Scarborough Health Network - General Hospital - T6,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-12-08,2020-12-17,N
63,Advent Valleyview Residence - 4 East,541 Finch Ave W,LTCH,Respiratory,COVID-19,NA,2020-12-08,2021-01-14,N
64,"Eatonville Care Centre - 2nd, 3rd & 5th Fl",420 The East Mall,LTCH,Respiratory,COVID-19,NA,2020-12-08,2021-02-19,N
65,L'Chaim Retirement Home,718 Sheppard Ave W,Retirement Home,Respiratory,COVID-19,NA,2020-12-07,2020-12-22,N
66,Revera Kingsway,4251 Dundas St W,Retirement Home,Respiratory,COVID-19,NA,2020-12-07,2021-01-07,N
67,Runnymede Healthcare Centre - 4th Fl,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-12-07,2021-01-21,N
68,Parkland on Eglinton,4650 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,NA,2020-12-07,2021-03-01,N
69,Cummer Lodge - 2nd Fl,205 Cummer Ave,LTCH,Respiratory,COVID-19,NA,2020-12-06,2020-12-24,N
70,New Horizons Tower - Kitchen,1140 Bloor St W,Retirement Home,Respiratory,COVID-19,NA,2020-12-06,2020-12-24,N
71,Unity Health Toronto - St. Joseph's Health Centre - ED,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-12-05,2020-12-22,N
72,Scarborough Health Network - General Hospital - 4C,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-12-05,2020-12-26,N
73,Wesburn Manor - 2 North,400 The West Mall,LTCH,Respiratory,COVID-19,NA,2020-12-05,2020-12-29,N
74,Baycrest Hospital - 4W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-12-05,2021-01-03,N
75,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Respiratory,COVID-19,NA,2020-12-05,2021-01-27,N
76,The Hospital For Sick Children - Clinical Core Lab,555 University Ave,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-12-04,2020-12-22,N
77,Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,COVID-19,NA,2020-12-04,2021-02-01,N
78,St George Care Community - 1st & 3rd Fl,225 St George St,LTCH,Respiratory,COVID-19,NA,2020-12-04,2021-02-07,N
79,White Eagle Nursing Home,138 Dowling Ave,LTCH,Respiratory,COVID-19,NA,2020-12-03,2021-01-21,N
80,Centre for Addiction & Mental Health - Queen Site - GPU B,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,NA,2020-12-02,2020-12-16,N
81,Bridgepoint Active Healthcare - 4S,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-11-30,2020-12-13,N
82,William Osler Health System - 10th Level,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-30,2020-12-16,N
83,Mount Sinai Hospital - 12 South,600 University Avenue,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-30,2021-01-02,N
84,Sunnybrook Health Sciences Centre - F2,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-28,2020-12-04,N
85,"Cedarvale Terrace - 2nd, 3rd, 5th & 6th Fl",429 Walmer Rd E,LTCH,Respiratory,COVID-19,NA,2020-11-28,2020-12-14,N
86,Unity Health Toronto - St. Joseph Health Care Centre - 3M,30  The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-28,2020-12-14,N
87,Scarborough Health Network - Birchmount Hospital - G4C,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-27,2020-12-08,N
88,True Davidson Acres - 3rd floor,200 Dawes Rd,Retirement Home,Respiratory,COVID-19,NA,2020-11-27,2020-12-08,N
89,Scarborough Health Network - Centenary Hospital - YC9WE,2867 Ellesmere Rd,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-27,2020-12-20,N
90,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,COVID-19,NA,2020-11-27,2021-01-18,N
91,"Kipling Acres - 2S, Claireville & Highfield Unit",2233 Kipling Ave,LTCH,Respiratory,COVID-19,NA,2020-11-27,2021-02-10,N
92,Dowling Residence,124 Dowling Ave,Retirement Home,Respiratory,COVID-19,NA,2020-11-26,2020-12-29,N
93,"The Briton House - 6th, 7th & 9th Fl",720 Mount Pleasant Rd,Retirement Home,Respiratory,COVID-19,NA,2020-11-26,2021-01-29,N
94,Unity Health Toronto - St. Michael's Hospital - 7CCV South,30 Bond St,Hospital-Acute Care,Enteric,Unable to identify,NA,2020-11-26,2020-11-30,N
95,Scarborough Health Network - General Hospital - 4E,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-25,2020-12-08,N
96,Amica Bayview Village - 2nd Fl,15 Barberry Place,Retirement Home,Respiratory,COVID-19,NA,2020-11-25,2020-12-11,N
97,Unity Health Toronto - St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-25,2020-12-29,N
98,Centre for Addiction & Mental Health - Queen Site - MAUI,1001 Queen Street West,Hospital-Psychiatric,Respiratory,COVID-19,NA,2020-11-24,2020-12-08,N
99,Scarborough Health Network - General Hospital - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-24,2020-12-19,N
100,Amica Balmoral Club Retirement Home,155 Balmoral Ave,Retirement Home,Respiratory,COVID-19,NA,2020-11-23,2020-11-26,N
101,McCall Centre for Continuing Care - West Wing Interim Unit,140 Sherway Dr,LTCH,Respiratory,COVID-19,NA,2020-11-23,2020-12-17,N
102,"McCall Centre for Continuing Care - 2nd, 3rd & 4th Fl",140 Sherway Dr,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-11-23,2020-12-24,N
103,The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2020-11-23,2021-02-10,N
104,Castleview Wychwood Towers - 2nd to 7th Fl,351 Christie St,LTCH,Respiratory,COVID-19,NA,2020-11-23,2021-02-17,N
105,Scarborough Health Network - General Hospital - 3C,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-20,2020-12-04,N
106,Terraces of Baycrest Retirement Residence,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,NA,2020-11-20,2020-12-17,N
107,Village Of Humber Height Retirement Home - Williamsburg,2245 Lawrence Ave W - & Becker's Unit,LTCH,Respiratory,COVID-19,NA,2020-11-20,2021-01-04,N
108,Chartwell Trilogy,340 McCowan Rd E,LTCH,Respiratory,COVID-19,NA,2020-11-20,2021-02-16,N
109,Unity Health Toronto - St. Michael's Hospital - TNICU,30 Bond St,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-19,2020-11-27,N
110,Baycrest Apotex Centre - Jewish Home for the Aged - A2GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2020-11-19,2020-12-02,N
111,One Kenton Place - 2nd & 3rd Fl,1 Kenton Dr,LTCH,Respiratory,COVID-19,NA,2020-11-19,2021-01-16,N
112,Midland Gardens Care Community - 2nd Fl,130 Midland Ave,LTCH,Respiratory,COVID-19,NA,2020-11-19,2021-02-26,N
113,Baycrest Apotex Centre - Jewish Home for the Aged - A7EI,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2020-11-17,2020-12-04,N
114,Arul Oli Senior Centre,8 Snowy Owl Way,Retirement Home,Respiratory,COVID-19,NA,2020-11-16,2020-12-10,N
115,Leaside Retirement Residence - Building 10,10 William Morgan Dr,Retirement Home,Respiratory,COVID-19,NA,2020-11-14,2020-12-11,N
116,Humber River Regional Hospital - 8 West,1235 Wilson Ave,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-13,2020-11-25,N
117,Queens Estate Retirement Residence - 4th Fl,265 Queens Dr,Retirement Home,Respiratory,COVID-19,NA,2020-11-13,2020-11-25,N
118,Harold and Grace Baker Centre,1 Northwestern Ave,Retirement Home,Respiratory,COVID-19,NA,2020-11-13,2020-12-14,N
119,Centre for Addiction & Mental Health - Queen Site - Unit 2-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,NA,2020-11-12,2020-11-26,N
120,True Davidson Acres - 4th Fl,200 Dawes Rd E,LTCH,Respiratory,COVID-19,NA,2020-11-12,2020-12-28,N
121,Westside,1145 Albion Rd,LTCH,Respiratory,COVID-19,NA,2020-11-12,2021-02-06,N
122,Runnymede Healthcare Centre - 3E,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-11-11,2020-11-27,N
123,Scarborough Health Network - General Hospital - T9,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-10,2020-11-25,N
124,Baycrest Hospital - 6E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-11-09,2020-11-29,N
125,Suomi Koti Nursing Home,795 Eglinton Ave E,LTCH,Respiratory,COVID-19,NA,2020-11-09,2020-12-24,N
126,Downsview Long Term Care Centre - 1st Fl North & -,3595 Keele St - East Unit,LTCH,Respiratory,COVID-19,NA,2020-11-07,2020-11-28,N
127,Humber River Regional Hospital - 12 East,1235 Wilson Ave,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-06,2020-11-09,N
128,Scarborough Health Network - General Hospital - 4C,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-06,2020-12-02,N
129,Centre for Addiction & Mental Health - College Site -,250 College St - GPU-A,Hospital-Psychiatric,Respiratory,COVID-19,NA,2020-11-05,2020-11-20,N
130,Providence Healthcare - D3 Palliative Unit,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-11-05,2020-12-02,N
131,The Teddington,4 Teddington Ave,Retirement Home,Respiratory,COVID-19,Rhinovirus,2020-11-04,2020-11-18,N
132,Unity Health Toronto - St. Michael's Hospital - 7 CCV North,30 Bond St,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-04,2020-11-16,N
133,St. George Care Community,225 St.George St,LTCH,Respiratory,COVID-19,NA,2020-11-04,2020-11-24,N
134,Harmony Hills Care Community,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,NA,2020-11-04,2020-12-30,N
135,Forest Hill Place,645 Castlefield Ave,Retirement Home,Respiratory,COVID-19,NA,2020-11-04,2021-01-14,N
136,West Park Healthcare Centre - 3EA,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-11-03,2020-11-17,N
137,Weston Terrace Care Community - 3A/1A,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,NA,2020-11-03,2020-12-03,N
138,"Village of Humber Heights - 1st Fl Wedworth, Brule -",2245 Lawrence Ave W - Weston & Islington,LTCH,Respiratory,COVID-19,NA,2020-11-03,2020-12-21,N
139,Deerwood Creek Care Community,70 Humberline Dr,LTCH,Respiratory,COVID-19,NA,2020-11-03,2021-02-17,N
140,The O'Neill Centre - 4th & 5th Fl,33 Christie St,LTCH,Enteric,Unable to identify,NA,2020-11-03,2020-11-11,N
141,Extendicare Guildwood - East,60 Guildwood Pky,LTCH,Respiratory,COVID-19,NA,2020-11-02,2020-11-23,N
142,Bendale Acres - 2 East,2920 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2020-11-02,2020-12-15,N
143,Ina Grafton Gage Home - 2nd Fl,40 Bell Estates Rd,LTCH,Respiratory,COVID-19,NA,2020-11-01,2020-11-16,N
144,William Osler Health System - 8 West,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-11-01,2020-11-26,N
145,Chartwell Scarlett Heights Retirement Home,4005 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,NA,2020-11-01,2020-12-26,N
146,Mount Sinai Hospital - 9 South,600 University Ave,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-10-30,2020-11-14,N
