outbreak_type,causative_agent,start,end,institution,duration
Respiratory,Coronavirus,2022-01-03,2022-01-30,Chronic Care,27
Respiratory,Coronavirus,2022-01-02,2022-02-12,LTCH,41
Respiratory,Coronavirus,2022-01-02,2022-01-22,Chronic Care,20
Respiratory,Coronavirus,2022-01-02,2022-01-14,Chronic Care,12
Respiratory,Coronavirus,2022-01-02,2022-01-19,LTCH,17
Respiratory,Coronavirus,2022-01-02,2022-01-27,Chronic Care,25
Respiratory,Coronavirus,2022-01-02,2022-01-15,Acute Care,13
Respiratory,Coronavirus,2022-01-02,2022-01-18,Acute Care,16
Respiratory,Coronavirus,2022-01-02,2022-02-03,Chronic Care,32
Respiratory,Coronavirus,2022-01-01,2022-01-19,Retirement Home,18
Respiratory,Coronavirus,2022-01-01,2022-01-25,Chronic Care,24
Respiratory,Coronavirus,2022-01-01,2022-01-31,Acute Care,30
Respiratory,Coronavirus,2022-01-01,2022-02-08,Retirement Home,38
Respiratory,Coronavirus,2021-12-31,2022-01-19,LTCH,19
Respiratory,Coronavirus,2021-12-31,2022-01-31,Retirement Home,31
Respiratory,Coronavirus,2021-12-31,2022-01-20,Chronic Care,20
Respiratory,Coronavirus,2021-12-30,2022-01-25,Retirement Home,26
Respiratory,Coronavirus,2021-12-30,2022-01-13,Chronic Care,14
Respiratory,Coronavirus,2021-12-30,2022-01-26,Retirement Home,27
Respiratory,Coronavirus,2021-12-30,2022-02-04,Retirement Home,36
Respiratory,Coronavirus,2021-12-30,2022-02-19,LTCH,51
Respiratory,Coronavirus,2021-12-30,2022-01-20,LTCH,21
Respiratory,Coronavirus,2021-12-30,2022-01-16,Acute Care,17
Respiratory,Coronavirus,2021-12-30,2022-01-20,Retirement Home,21
Respiratory,Coronavirus,2021-12-30,2022-02-15,Retirement Home,47
Respiratory,Coronavirus,2021-12-30,2022-01-13,Acute Care,14
Respiratory,Coronavirus,2021-12-30,2022-01-13,Acute Care,14
Respiratory,Coronavirus,2021-12-30,2022-02-12,LTCH,44
Respiratory,Coronavirus,2021-12-29,2022-03-20,LTCH,81
Respiratory,Coronavirus,2021-12-29,2022-02-22,Retirement Home,55
Respiratory,Coronavirus,2021-12-29,2022-02-10,Retirement Home,43
Respiratory,Coronavirus,2021-12-29,2022-02-07,Retirement Home,40
Respiratory,Coronavirus,2021-12-29,2022-01-28,Retirement Home,30
Respiratory,Coronavirus,2021-12-29,2022-01-25,LTCH,27
Respiratory,Coronavirus,2021-12-29,2022-02-03,Retirement Home,36
Respiratory,Coronavirus,2021-12-29,2022-02-04,Chronic Care,37
Respiratory,Coronavirus,2021-12-29,2022-01-31,Retirement Home,33
Respiratory,Coronavirus,2021-12-29,2022-02-12,Retirement Home,45
Respiratory,Coronavirus,2021-12-29,2022-01-31,Retirement Home,33
Respiratory,Coronavirus,2021-12-29,2022-02-04,Retirement Home,37
Respiratory,Coronavirus,2021-12-29,2022-01-15,Acute Care,17
Respiratory,Coronavirus,2021-12-29,2022-02-05,LTCH,38
Respiratory,Coronavirus,2021-12-29,2022-01-17,Chronic Care,19
Respiratory,Coronavirus,2021-12-29,2022-01-18,LTCH,20
Respiratory,Coronavirus,2021-12-29,2022-01-20,LTCH,22
Respiratory,Coronavirus,2021-12-28,2022-02-09,Retirement Home,43
Respiratory,Coronavirus,2021-12-28,2022-02-14,LTCH,48
Respiratory,Coronavirus,2021-12-28,2022-01-21,Chronic Care,24
Respiratory,Coronavirus,2021-12-28,2022-02-09,LTCH,43
Respiratory,Coronavirus,2021-12-28,2022-01-28,LTCH,31
Respiratory,Coronavirus,2021-12-28,2022-02-15,LTCH,49
Respiratory,Coronavirus,2021-12-28,2022-02-12,LTCH,46
Respiratory,Coronavirus,2021-12-28,2022-01-07,Acute Care,10
Respiratory,Coronavirus,2021-12-28,2022-02-06,Retirement Home,40
Respiratory,Coronavirus,2021-12-28,2022-01-14,Acute Care,17
Respiratory,Coronavirus,2021-12-28,2022-02-07,Acute Care,41
Respiratory,Coronavirus,2021-12-28,2022-01-21,LTCH,24
Respiratory,Coronavirus,2021-12-28,2022-01-16,Chronic Care,19
Respiratory,Coronavirus,2021-12-27,2022-02-09,LTCH,44
Respiratory,Coronavirus,2021-12-27,2022-01-27,Psychiatric,31
Respiratory,Coronavirus,2021-12-27,2022-02-04,Retirement Home,39
Respiratory,Coronavirus,2021-12-27,2022-02-08,LTCH,43
Respiratory,Coronavirus,2021-12-27,2022-02-04,LTCH,39
Respiratory,Coronavirus,2021-12-27,2022-02-02,Retirement Home,37
Respiratory,Coronavirus,2021-12-27,2022-01-31,Retirement Home,35
Respiratory,Coronavirus,2021-12-27,2022-01-23,LTCH,27
Respiratory,Coronavirus,2021-12-26,2022-02-02,LTCH,38
Respiratory,Coronavirus,2021-12-26,2022-02-03,LTCH,39
Respiratory,Coronavirus,2021-12-26,2022-02-10,LTCH,46
Respiratory,Coronavirus,2021-12-26,2022-02-04,LTCH,40
Respiratory,Coronavirus,2021-12-26,2022-02-14,Retirement Home,50
Respiratory,Coronavirus,2021-12-26,2022-01-31,LTCH,36
Respiratory,Coronavirus,2021-12-26,2022-01-31,Retirement Home,36
Respiratory,Coronavirus,2021-12-26,2022-01-16,Chronic Care,21
Respiratory,Coronavirus,2021-12-25,2022-03-07,LTCH,72
Respiratory,Coronavirus,2021-12-25,2022-01-06,Acute Care,12
Respiratory,Coronavirus,2021-12-25,2022-01-28,Retirement Home,34
Respiratory,Coronavirus,2021-12-25,2022-02-12,LTCH,49
Respiratory,Coronavirus,2021-12-25,2022-02-07,LTCH,44
Respiratory,Coronavirus,2021-12-24,2022-01-08,Chronic Care,15
Respiratory,Coronavirus,2021-12-24,2022-01-25,Chronic Care,32
Respiratory,Coronavirus,2021-12-24,2022-02-25,LTCH,63
Respiratory,Coronavirus,2021-12-24,2022-02-01,Retirement Home,39
Respiratory,Coronavirus,2021-12-24,2022-02-24,LTCH,62
Respiratory,Coronavirus,2021-12-24,2022-02-01,LTCH,39
Respiratory,Coronavirus,2021-12-24,2022-01-13,Chronic Care,20
Respiratory,Coronavirus,2021-12-24,2022-02-10,Retirement Home,48
Respiratory,Coronavirus,2021-12-24,2022-02-07,LTCH,45
Respiratory,Coronavirus,2021-12-24,2022-01-12,Acute Care,19
Respiratory,Coronavirus,2021-12-24,2022-02-02,Acute Care,40
Respiratory,Coronavirus,2021-12-23,2022-02-06,Retirement Home,45
Respiratory,Coronavirus,2021-12-23,2022-02-15,LTCH,54
Respiratory,Coronavirus,2021-12-23,2022-02-22,LTCH,61
Respiratory,Coronavirus,2021-12-23,2022-02-09,LTCH,48
Respiratory,Coronavirus,2021-12-23,2022-03-08,LTCH,75
Respiratory,Coronavirus,2021-12-23,2022-02-08,LTCH,47
Respiratory,Coronavirus,2021-12-23,2022-03-06,LTCH,73
Respiratory,Coronavirus,2021-12-23,2022-01-25,LTCH,33
Respiratory,Coronavirus,2021-12-23,2022-02-07,LTCH,46
Respiratory,Coronavirus,2021-12-23,2022-02-10,LTCH,49
Respiratory,Coronavirus,2021-12-23,2022-01-11,Chronic Care,19
Respiratory,Coronavirus,2021-12-23,2022-01-12,Acute Care,20
Respiratory,Coronavirus,2021-12-23,2022-02-09,Retirement Home,48
Respiratory,Coronavirus,2021-12-23,2022-02-03,LTCH,42
Respiratory,Coronavirus,2021-12-23,2022-01-18,Retirement Home,26
Respiratory,Coronavirus,2021-12-23,2022-01-12,Acute Care,20
Respiratory,Coronavirus,2021-12-23,2022-01-10,Acute Care,18
Respiratory,Coronavirus,2021-12-23,2022-02-15,LTCH,54
Respiratory,Coronavirus,2021-12-22,2022-02-08,LTCH,48
Respiratory,Coronavirus,2021-12-22,2022-02-15,LTCH,55
Respiratory,Coronavirus,2021-12-22,2022-01-18,LTCH,27
Respiratory,Coronavirus,2021-12-22,2022-02-10,LTCH,50
Respiratory,Coronavirus,2021-12-22,2022-01-28,LTCH,37
Respiratory,Coronavirus,2021-12-22,2022-02-01,LTCH,41
Respiratory,Coronavirus,2021-12-22,2022-02-15,LTCH,55
Respiratory,Coronavirus,2021-12-22,2022-01-11,Acute Care,20
Respiratory,Coronavirus,2021-12-21,2022-02-14,LTCH,55
Respiratory,Coronavirus,2021-12-21,2022-02-15,LTCH,56
Respiratory,Coronavirus,2021-12-21,2022-02-14,LTCH,55
Respiratory,Coronavirus,2021-12-21,2022-02-08,LTCH,49
Respiratory,Coronavirus,2021-12-21,2022-01-05,LTCH,15
Respiratory,Coronavirus,2021-12-21,2022-02-05,Retirement Home,46
Respiratory,Coronavirus,2021-12-21,2022-01-27,LTCH,37
Respiratory,Coronavirus,2021-12-21,2022-01-27,LTCH,37
Respiratory,Coronavirus,2021-12-21,2022-02-07,LTCH,48
Respiratory,Coronavirus,2021-12-21,2022-02-07,LTCH,48
Respiratory,Coronavirus,2021-12-20,2022-02-24,LTCH,66
Respiratory,Coronavirus,2021-12-20,2022-01-26,LTCH,37
Respiratory,Coronavirus,2021-12-20,2022-01-17,LTCH,28
Respiratory,Coronavirus,2021-12-20,2022-02-25,LTCH,67
Respiratory,Coronavirus,2021-12-20,2022-01-28,LTCH,39
Respiratory,Coronavirus,2021-12-20,2022-02-08,LTCH,50
Respiratory,Coronavirus,2021-12-20,2022-02-08,LTCH,50
Respiratory,Coronavirus,2021-12-19,2022-02-11,LTCH,54
Respiratory,Coronavirus,2021-12-19,2022-02-05,Retirement Home,48
Respiratory,Coronavirus,2021-12-19,2022-02-23,LTCH,66
Respiratory,Coronavirus,2021-12-18,2022-02-07,LTCH,51
Respiratory,Coronavirus,2021-12-18,2022-02-10,LTCH,54
Respiratory,Coronavirus,2021-12-18,2022-01-06,Acute Care,19
Respiratory,Coronavirus,2021-12-17,2022-02-07,LTCH,52
Respiratory,Coronavirus,2021-12-17,2021-12-24,LTCH,7
Respiratory,Coronavirus,2021-12-17,2022-01-20,Retirement Home,34
Respiratory,Coronavirus,2021-12-17,2022-02-13,LTCH,58
Respiratory,Coronavirus,2021-12-17,2022-01-12,LTCH,26
Respiratory,Coronavirus,2021-12-17,2022-02-04,Retirement Home,49
Respiratory,Coronavirus,2021-12-17,2022-02-18,LTCH,63
Respiratory,Coronavirus,2021-12-15,2022-02-07,LTCH,54
Respiratory,Coronavirus,2021-12-14,2022-02-14,LTCH,62
Respiratory,Coronavirus,2021-12-13,2022-02-16,LTCH,65
Respiratory,Coronavirus,2021-12-13,2021-12-25,Retirement Home,12
Respiratory,Unknown,2021-12-13,2021-12-31,LTCH,18
Respiratory,Coronavirus,2021-12-10,2022-01-31,LTCH,52
Respiratory,Coronavirus,2021-12-10,2022-02-08,LTCH,60
Respiratory,Coronavirus,2021-12-08,2022-01-31,LTCH,54
Respiratory,Coronavirus,2021-12-07,2022-01-26,LTCH,50
Respiratory,Coronavirus,2021-12-07,2021-12-22,Acute Care,15
Respiratory,Coronavirus,2021-12-05,2022-02-08,LTCH,65
Respiratory,Coronavirus,2021-12-05,2021-12-29,LTCH,24
Enteric,Unknown,2021-12-05,2021-12-09,LTCH,4
Respiratory,RSV,2021-12-05,2021-12-12,LTCH,7
Respiratory,RSV,2021-12-03,2021-12-15,LTCH,12
Respiratory,Coronavirus,2021-12-03,2021-12-18,LTCH,15
Respiratory,Coronavirus,2021-12-03,2021-12-22,Acute Care,19
Respiratory,Rhinovirus,2021-12-01,2021-12-20,LTCH,19
Respiratory,Rhinovirus,2021-11-29,2021-12-14,LTCH,15
Respiratory,Coronavirus,2021-11-28,2021-12-14,Acute Care,16
Respiratory,Rhinovirus,2021-11-26,2021-12-12,Chronic Care,16
Respiratory,Rhinovirus,2021-11-24,2021-12-09,Retirement Home,15
Respiratory,Coronavirus,2021-11-23,2021-12-20,LTCH,27
Respiratory,Coronavirus,2021-11-20,2021-12-04,Acute Care,14
Respiratory,Rhinovirus,2021-11-12,2021-11-24,LTCH,12
Respiratory,Rhinovirus,2021-11-08,2021-12-07,LTCH,29
Respiratory,Metapneumovirus,2021-11-04,2021-11-16,LTCH,12
Respiratory,Coronavirus,2021-11-02,2021-11-16,Acute Care,14
Respiratory,Rhinovirus,2021-10-31,2021-11-10,LTCH,10
Respiratory,Rhinovirus,2021-10-21,2021-11-03,LTCH,13
Respiratory,Rhinovirus,2021-10-19,2021-10-28,Retirement Home,9
Respiratory,Unknown,2021-10-18,2021-11-10,LTCH,23
Respiratory,Unknown,2021-10-18,2021-10-26,Retirement Home,8
Respiratory,Coronavirus,2021-10-12,2021-10-22,Retirement Home,10
Respiratory,Coronavirus,2021-10-07,2021-10-23,Retirement Home,16
Respiratory,Coronavirus,2021-10-05,2021-10-16,LTCH,11
Respiratory,Rhinovirus,2021-09-28,2021-09-29,LTCH,1
Respiratory,Coronavirus,2021-09-23,2021-10-09,Retirement Home,16
Respiratory,Influenza,2021-09-20,2021-10-05,LTCH,15
Respiratory,Coronavirus,2021-09-15,2021-10-15,LTCH,30
Respiratory,Coronavirus,2021-09-15,2021-10-09,LTCH,24
Respiratory,Coronavirus,2021-09-13,2021-09-27,LTCH,14
Respiratory,Coronavirus,2021-09-11,2021-09-26,Retirement Home,15
Respiratory,Coronavirus,2021-09-09,2021-10-07,LTCH,28
Respiratory,Rhinovirus,2021-09-08,2021-09-21,LTCH,13
Respiratory,Rhinovirus,2021-09-07,2021-09-24,LTCH,17
Respiratory,Coronavirus,2021-09-04,2021-09-22,Acute Care,18
Enteric,Unknown,2021-09-01,2021-09-02,LTCH,1
Respiratory,Rhinovirus,2021-08-22,2021-08-28,LTCH,6
Enteric,Unknown,2021-08-22,2021-09-10,LTCH,19
Respiratory,Rhinovirus,2021-08-20,2021-09-02,Chronic Care,13
Respiratory,Rhinovirus,2021-08-16,2021-08-26,Retirement Home,10
Respiratory,Rhinovirus,2021-08-12,2021-09-08,LTCH,27
Respiratory,Rhinovirus,2021-08-09,2021-08-26,LTCH,17
Respiratory,Coronavirus,2021-08-05,2021-08-19,LTCH,14
Respiratory,Rhinovirus,2021-08-05,2021-08-16,LTCH,11
Respiratory,Coronavirus,2021-08-05,2021-08-18,Retirement Home,13
Respiratory,Coronavirus,2021-08-04,2021-08-11,Acute Care,7
Respiratory,Rhinovirus,2021-07-27,2021-08-16,LTCH,20
Enteric,Campylobacter,2021-07-26,2021-08-03,LTCH,8
Respiratory,Coronavirus,2021-07-23,2021-08-31,LTCH,39
Respiratory,Coronavirus,2021-07-13,2021-07-27,Acute Care,14
Respiratory,Coronavirus,2021-07-12,2021-07-28,Chronic Care,16
Enteric,Unknown,2021-07-07,2021-07-10,LTCH,3
Respiratory,Coronavirus,2021-07-02,2021-07-19,Acute Care,17
Respiratory,Coronavirus,2021-06-30,2021-07-13,Acute Care,13
Respiratory,Coronavirus,2021-06-17,2021-07-07,Acute Care,20
Respiratory,Coronavirus,2021-05-21,2021-05-30,Acute Care,9
Respiratory,Coronavirus,2021-05-20,2021-06-04,Acute Care,15
Respiratory,Coronavirus,2021-05-18,2021-06-01,LTCH,14
Respiratory,Coronavirus,2021-05-17,2021-06-01,Acute Care,15
Respiratory,Coronavirus,2021-05-15,2021-06-01,LTCH,17
Respiratory,Coronavirus,2021-05-15,2021-06-02,Acute Care,18
Respiratory,Coronavirus,2021-05-14,2021-06-06,Chronic Care,23
Respiratory,Coronavirus,2021-05-11,2021-06-10,LTCH,30
Respiratory,Coronavirus,2021-05-11,2021-05-29,Retirement Home,18
Respiratory,Coronavirus,2021-05-08,2021-05-27,Acute Care,19
Respiratory,Coronavirus,2021-05-07,2021-05-18,Acute Care,11
Respiratory,Coronavirus,2021-05-06,2021-05-20,Chronic Care,14
Respiratory,Coronavirus,2021-05-04,2021-05-19,Chronic Care,15
Respiratory,Coronavirus,2021-05-04,2021-06-01,Acute Care,28
Respiratory,Coronavirus,2021-05-03,2021-05-28,Acute Care,25
Respiratory,Coronavirus,2021-05-02,2021-05-17,Chronic Care,15
Respiratory,Coronavirus,2021-04-30,2021-05-18,Acute Care,18
Enteric,Unknown,2021-04-30,2021-05-16,Retirement Home,16
Respiratory,Coronavirus,2021-04-29,2021-06-25,LTCH,57
Respiratory,Coronavirus,2021-04-28,2021-06-02,LTCH,35
Respiratory,Coronavirus,2021-04-28,2021-06-07,LTCH,40
Respiratory,Coronavirus,2021-04-28,2021-05-12,Acute Care,14
Respiratory,Coronavirus,2021-04-27,2021-05-17,LTCH,20
Respiratory,Coronavirus,2021-04-27,2021-05-11,Chronic Care,14
Respiratory,Coronavirus,2021-04-26,2021-05-16,Chronic Care,20
Respiratory,Coronavirus,2021-04-26,2021-05-12,Acute Care,16
Respiratory,Coronavirus,2021-04-25,2021-05-16,Acute Care,21
Respiratory,Coronavirus,2021-04-25,2021-05-12,LTCH,17
Respiratory,Coronavirus,2021-04-23,2021-05-12,LTCH,19
Respiratory,Coronavirus,2021-04-22,2021-05-17,Acute Care,25
Respiratory,Coronavirus,2021-04-21,2021-06-02,LTCH,42
Respiratory,Coronavirus,2021-04-21,2021-05-02,Acute Care,11
Respiratory,Coronavirus,2021-04-21,2021-05-01,Chronic Care,10
Respiratory,Coronavirus,2021-04-20,2021-05-04,LTCH,14
Respiratory,Coronavirus,2021-04-20,2021-05-13,LTCH,23
Respiratory,Coronavirus,2021-04-20,2021-05-28,LTCH,38
Respiratory,Coronavirus,2021-04-20,2021-05-04,Acute Care,14
Respiratory,Coronavirus,2021-04-20,2021-05-24,Acute Care,34
Respiratory,Coronavirus,2021-04-19,2021-05-11,LTCH,22
Respiratory,Coronavirus,2021-04-19,2021-05-06,LTCH,17
Respiratory,Coronavirus,2021-04-19,2021-05-13,LTCH,24
Respiratory,Coronavirus,2021-04-18,2021-06-01,LTCH,44
Respiratory,Coronavirus,2021-04-18,2021-04-30,LTCH,12
Respiratory,Coronavirus,2021-04-18,2021-05-10,Chronic Care,22
Respiratory,Coronavirus,2021-04-18,2021-05-03,Acute Care,15
Respiratory,Coronavirus,2021-04-17,2021-04-25,Acute Care,8
Respiratory,Coronavirus,2021-04-16,2021-05-04,Acute Care,18
Respiratory,Coronavirus,2021-04-15,2021-05-17,LTCH,32
Respiratory,Coronavirus,2021-04-15,2021-05-08,Acute Care,23
Respiratory,Coronavirus,2021-04-14,2021-05-10,LTCH,26
Respiratory,Coronavirus,2021-04-13,2021-05-03,LTCH,20
Respiratory,Coronavirus,2021-04-13,2021-04-29,Acute Care,16
Respiratory,Coronavirus,2021-04-12,2021-04-27,LTCH,15
Respiratory,Coronavirus,2021-04-09,2021-04-21,Chronic Care,12
Respiratory,Coronavirus,2021-04-09,2021-05-11,LTCH,32
Respiratory,Coronavirus,2021-04-08,2021-05-04,Chronic Care,26
Respiratory,Coronavirus,2021-04-06,2021-04-27,Chronic Care,21
Respiratory,Coronavirus,2021-04-06,2021-04-20,Chronic Care,14
Respiratory,Coronavirus,2021-04-06,2021-04-15,Acute Care,9
Respiratory,Coronavirus,2021-04-05,2021-04-12,Acute Care,7
Respiratory,Coronavirus,2021-04-05,2021-04-20,LTCH,15
Respiratory,Coronavirus,2021-04-04,2021-05-02,LTCH,28
Respiratory,Coronavirus,2021-04-04,2021-04-26,Acute Care,22
Respiratory,Coronavirus,2021-04-03,2021-04-18,Chronic Care,15
Respiratory,Coronavirus,2021-04-03,2021-05-19,LTCH,46
Respiratory,Coronavirus,2021-04-03,2021-04-13,Acute Care,10
Respiratory,Coronavirus,2021-04-02,2021-04-17,LTCH,15
Respiratory,Coronavirus,2021-04-02,2021-05-04,Acute Care,32
Respiratory,Coronavirus,2021-04-01,2021-04-16,LTCH,15
Respiratory,Coronavirus,2021-03-31,2021-04-27,LTCH,27
Respiratory,Coronavirus,2021-03-30,2021-04-18,Acute Care,19
Respiratory,Coronavirus,2021-03-26,2021-04-08,Acute Care,13
Respiratory,Coronavirus,2021-03-23,2021-04-04,Acute Care,12
Respiratory,Coronavirus,2021-03-23,2021-04-07,LTCH,15
Respiratory,Coronavirus,2021-03-22,2021-04-12,Acute Care,21
Enteric,Unknown,2021-03-22,2021-03-27,LTCH,5
Respiratory,Coronavirus,2021-03-19,2021-04-07,Acute Care,19
Respiratory,Coronavirus,2021-03-17,2021-03-27,Acute Care,10
Respiratory,Coronavirus,2021-03-16,2021-04-15,LTCH,30
Respiratory,Coronavirus,2021-03-13,2021-04-15,LTCH,33
Respiratory,Coronavirus,2021-03-12,2021-04-04,Acute Care,23
Respiratory,Coronavirus,2021-03-11,2021-05-13,LTCH,63
Respiratory,Coronavirus,2021-03-05,2021-03-19,LTCH,14
Respiratory,Coronavirus,2021-03-02,2021-03-22,Acute Care,20
Respiratory,Coronavirus,2021-02-26,2021-03-15,LTCH,17
Respiratory,Coronavirus,2021-02-23,2021-03-09,Psychiatric,14
Respiratory,Coronavirus,2021-02-23,2021-03-06,Acute Care,11
Respiratory,Coronavirus,2021-02-22,2021-03-12,LTCH,18
Respiratory,Coronavirus,2021-02-22,2021-03-08,LTCH,14
Enteric,Unknown,2021-02-22,2021-02-26,LTCH,4
Respiratory,Coronavirus,2021-02-21,2021-04-16,LTCH,54
Respiratory,Coronavirus,2021-02-20,2021-03-06,Psychiatric,14
Respiratory,Coronavirus,2021-02-16,2021-02-27,Acute Care,11
Respiratory,Coronavirus,2021-02-16,2021-03-06,Acute Care,18
Respiratory,Coronavirus,2021-02-12,2021-02-26,Acute Care,14
Respiratory,Coronavirus,2021-02-12,2021-04-19,LTCH,66
Respiratory,Coronavirus,2021-02-11,2021-03-09,Chronic Care,26
Respiratory,Coronavirus,2021-02-11,2021-02-28,Acute Care,17
Respiratory,Coronavirus,2021-02-10,2021-03-05,Acute Care,23
Respiratory,Coronavirus,2021-02-10,2021-02-17,Acute Care,7
Respiratory,Coronavirus,2021-02-10,2021-02-19,Acute Care,9
Respiratory,Coronavirus,2021-02-08,2021-03-01,Acute Care,21
Respiratory,Coronavirus,2021-02-05,2021-03-03,Acute Care,26
Respiratory,Coronavirus,2021-02-04,2021-02-20,LTCH,16
Respiratory,Coronavirus,2021-02-04,2021-02-19,Acute Care,15
Respiratory,Coronavirus,2021-02-04,2021-02-24,Retirement Home,20
Respiratory,Coronavirus,2021-02-04,2021-02-18,Acute Care,14
Respiratory,Coronavirus,2021-02-04,2021-02-25,Retirement Home,21
Respiratory,Coronavirus,2021-02-03,2021-02-25,LTCH,22
Respiratory,Coronavirus,2021-02-03,2021-02-22,Chronic Care,19
Respiratory,Coronavirus,2021-02-03,2021-02-18,Acute Care,15
Respiratory,Coronavirus,2021-02-03,2021-02-22,Acute Care,19
Respiratory,Coronavirus,2021-02-02,2021-02-20,LTCH,18
Respiratory,Coronavirus,2021-02-02,2021-02-20,LTCH,18
Respiratory,Coronavirus,2021-02-01,2021-02-18,Retirement Home,17
Respiratory,Coronavirus,2021-02-01,2021-02-19,Chronic Care,18
Respiratory,Coronavirus,2021-01-31,2021-02-20,LTCH,20
Respiratory,Coronavirus,2021-01-29,2021-02-12,Retirement Home,14
Respiratory,Coronavirus,2021-01-29,2021-02-23,Acute Care,25
Respiratory,Coronavirus,2021-01-28,2021-02-19,LTCH,22
Respiratory,Coronavirus,2021-01-28,2021-02-13,Chronic Care,16
Respiratory,Coronavirus,2021-01-26,2021-03-03,Acute Care,36
Enteric,Campylobacter,2021-01-25,2021-02-16,Retirement Home,22
Respiratory,Coronavirus,2021-01-24,2021-02-24,Retirement Home,31
Respiratory,Coronavirus,2021-01-23,2021-02-14,Chronic Care,22
Respiratory,Coronavirus,2021-01-22,2021-01-29,Acute Care,7
Respiratory,Coronavirus,2021-01-22,2021-02-07,Acute Care,16
Respiratory,Coronavirus,2021-01-21,2021-02-12,Chronic Care,22
Respiratory,Coronavirus,2021-01-21,2021-02-05,Chronic Care,15
Respiratory,Coronavirus,2021-01-21,2021-02-05,Acute Care,15
Respiratory,Coronavirus,2021-01-21,2021-02-06,Acute Care,16
Respiratory,Coronavirus,2021-01-20,2021-02-05,Retirement Home,16
Respiratory,Coronavirus,2021-01-20,2021-02-20,Acute Care,31
Respiratory,Coronavirus,2021-01-20,2021-02-03,Acute Care,14
Respiratory,Coronavirus,2021-01-19,2021-02-02,Chronic Care,14
Respiratory,Coronavirus,2021-01-19,2021-02-01,Acute Care,13
Respiratory,Coronavirus,2021-01-18,2021-02-13,LTCH,26
Respiratory,Coronavirus,2021-01-18,2021-02-26,LTCH,39
Respiratory,Coronavirus,2021-01-18,2021-02-04,Acute Care,17
Respiratory,Coronavirus,2021-01-16,2021-02-08,LTCH,23
Respiratory,Coronavirus,2021-01-15,2021-02-18,LTCH,34
Respiratory,Coronavirus,2021-01-15,2021-03-18,LTCH,62
Respiratory,Coronavirus,2021-01-15,2021-02-19,LTCH,35
Respiratory,Coronavirus,2021-01-15,2021-01-29,Chronic Care,14
Respiratory,Coronavirus,2021-01-14,2021-02-05,Acute Care,22
Respiratory,Coronavirus,2021-01-14,2021-02-02,Chronic Care,19
Respiratory,Coronavirus,2021-01-14,2021-02-27,Acute Care,44
Respiratory,Coronavirus,2021-01-13,2021-01-25,Acute Care,12
Respiratory,Coronavirus,2021-01-12,2021-01-25,Acute Care,13
Respiratory,Coronavirus,2021-01-12,2021-02-18,LTCH,37
Respiratory,Coronavirus,2021-01-12,2021-02-10,Acute Care,29
Respiratory,Coronavirus,2021-01-11,2021-02-21,LTCH,41
Respiratory,Coronavirus,2021-01-11,2021-02-05,Chronic Care,25
Respiratory,Coronavirus,2021-01-11,2021-01-28,Acute Care,17
Respiratory,Coronavirus,2021-01-11,2021-01-27,Acute Care,16
Respiratory,Coronavirus,2021-01-11,2021-01-22,Acute Care,11
Respiratory,Coronavirus,2021-01-10,2021-02-17,LTCH,38
Respiratory,Coronavirus,2021-01-10,2021-02-02,Acute Care,23
Respiratory,Coronavirus,2021-01-09,2021-01-25,LTCH,16
Respiratory,Coronavirus,2021-01-09,2021-02-05,Retirement Home,27
Respiratory,Coronavirus,2021-01-09,2021-02-06,Acute Care,28
Respiratory,Coronavirus,2021-01-08,2021-02-01,LTCH,24
Respiratory,Coronavirus,2021-01-08,2021-01-28,LTCH,20
Respiratory,Coronavirus,2021-01-08,2021-01-20,Acute Care,12
Respiratory,Coronavirus,2021-01-08,2021-01-30,Retirement Home,22
Respiratory,Coronavirus,2021-01-07,2021-01-22,LTCH,15
Respiratory,Coronavirus,2021-01-07,2021-02-12,Retirement Home,36
Respiratory,Coronavirus,2021-01-07,2021-01-15,Chronic Care,8
Respiratory,Coronavirus,2021-01-07,2021-01-27,Chronic Care,20
Respiratory,Coronavirus,2021-01-07,2021-01-20,Acute Care,13
Respiratory,Coronavirus,2021-01-07,2021-02-01,Acute Care,25
Respiratory,Coronavirus,2021-01-06,2021-01-29,LTCH,23
Respiratory,Coronavirus,2021-01-06,2021-02-03,Chronic Care,28
Respiratory,Coronavirus,2021-01-06,2021-01-25,Chronic Care,19
Respiratory,Coronavirus,2021-01-06,2021-01-22,Acute Care,16
Respiratory,Coronavirus,2021-01-05,2021-02-16,LTCH,42
Respiratory,Coronavirus,2021-01-05,2021-02-22,LTCH,48
Respiratory,Coronavirus,2021-01-05,2021-01-19,Acute Care,14
Respiratory,Coronavirus,2021-01-05,2021-02-11,Chronic Care,37
Respiratory,Coronavirus,2021-01-04,2021-01-22,LTCH,18
Respiratory,Coronavirus,2021-01-04,2021-01-29,Chronic Care,25
Respiratory,Coronavirus,2021-01-04,2021-02-17,LTCH,44
Respiratory,Coronavirus,2021-01-04,2021-01-30,Acute Care,26
Respiratory,Coronavirus,2021-01-04,2021-02-10,LTCH,37
Respiratory,Coronavirus,2021-01-03,2021-02-16,LTCH,44
Respiratory,Coronavirus,2021-01-03,2021-02-22,Chronic Care,50
Respiratory,Coronavirus,2021-01-03,2021-01-28,Acute Care,25
Respiratory,Coronavirus,2021-01-03,2021-02-08,Chronic Care,36
